date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:40:32	233937/233937	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Dec%202024%2010:55:50%20GMT	https://soscrescimento.com.br/	C:/Users/PAULO/Desktop/crescer%20cabelo/soscrescimento.com.br/index.html	(from )
15:40:32	117/117	---M-Z	200	added ('OK')	text/plain	date:Thu,%2012%20Dec%202024%2018:40:32%20GMT	https://soscrescimento.com.br/robots.txt		(from )
15:40:32	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2012%20Dec%202024%2018:40:32%20GMT	https://soscrescimento.com.br/i	C:/Users/PAULO/Desktop/crescer%20cabelo/soscrescimento.com.br/i	(from https://soscrescimento.com.br/)
15:40:32	252409/252409	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Dec%202024%2013:55:45%20GMT	https://soscrescimento.com.br/inicio/	C:/Users/PAULO/Desktop/crescer%20cabelo/soscrescimento.com.br/inicio/index.html	(from https://soscrescimento.com.br/)
15:40:32	6792/6792	---M--	200	added ('OK')	image/webp	date:Wed,%2021%20Feb%202024%2017:21:37%20GMT	https://soscrescimento.com.br/wp-content/uploads/2024/02/bg-web.webp	C:/Users/PAULO/Desktop/crescer%20cabelo/soscrescimento.com.br/wp-content/uploads/2024/02/bg-web.webp	(from https://soscrescimento.com.br/)
15:40:33	291/291	---M-Z	200	added ('OK')	text/css	date:Mon,%2017%20Apr%202023%2015:33:11%20GMT	https://soscrescimento.com.br/wp-includes/css/classic-themes.min.css?ver=6.2.6	C:/Users/PAULO/Desktop/crescer%20cabelo/soscrescimento.com.br/wp-includes/css/classic-themes.min4118.css	(from https://soscrescimento.com.br/)
15:40:33	103544/103544	---M-Z	200	added ('OK')	text/css	date:Tue,%2003%20Dec%202024%2010:03:31%20GMT	https://soscrescimento.com.br/wp-content/cache/min/1/wp-content/themes/oceanwp/assets/fonts/fontawesome/css/all.min.css?ver=1733220211	C:/Users/PAULO/Desktop/crescer%20cabelo/soscrescimento.com.br/wp-content/cache/min/1/wp-content/themes/oceanwp/assets/fonts/fontawesome/css/all.min7161.css	(from https://soscrescimento.com.br/)
15:40:33	11171/11171	---M-Z	200	added ('OK')	text/css	date:Tue,%2003%20Dec%202024%2010:03:31%20GMT	https://soscrescimento.com.br/wp-content/cache/min/1/wp-content/themes/oceanwp/assets/css/third/simple-line-icons.min.css?ver=1733220211	C:/Users/PAULO/Desktop/crescer%20cabelo/soscrescimento.com.br/wp-content/cache/min/1/wp-content/themes/oceanwp/assets/css/third/simple-line-icons.min7161.css	(from https://soscrescimento.com.br/)
15:40:33	47718/47718	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2012%20Dec%202024%2018:40:33%20GMT	https://soscrescimento.com.br/Firefox/	C:/Users/PAULO/Desktop/crescer%20cabelo/soscrescimento.com.br/Firefox/index.html	(from https://soscrescimento.com.br/)
15:40:33	180063/180063	---M-Z	200	added ('OK')	text/css	date:Tue,%2011%20Jun%202024%2014:33:38%20GMT	https://soscrescimento.com.br/wp-content/themes/oceanwp/assets/css/style.min.css?ver=3.5.7	C:/Users/PAULO/Desktop/crescer%20cabelo/soscrescimento.com.br/wp-content/themes/oceanwp/assets/css/style.minf8ee.css	(from https://soscrescimento.com.br/)
15:40:34	20215/20215	---M-Z	200	added ('OK')	text/css	date:Tue,%2003%20Dec%202024%2010:03:31%20GMT	https://soscrescimento.com.br/wp-content/cache/min/1/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=1733220211	C:/Users/PAULO/Desktop/crescer%20cabelo/soscrescimento.com.br/wp-content/cache/min/1/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min7161.css	(from https://soscrescimento.com.br/)
15:40:34	1075/1075	---M--	200	added ('OK')	application/rss+xml	date:Tue,%2003%20Dec%202024%2010:10:00%20GMT	https://soscrescimento.com.br/feed/	C:/Users/PAULO/Desktop/crescer%20cabelo/soscrescimento.com.br/feed/index.html	(from https://soscrescimento.com.br/)
